"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "JavaScript JSX", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\book-review\README.md", "Markdown", 0, 0, 47, 0, 0, 0, 0, 0, 0, 22, 69
"c:\xampp\htdocs\book-review\app\Http\Controllers\BookController.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 0, 23, 15, 141
"c:\xampp\htdocs\book-review\app\Http\Controllers\Controller.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\xampp\htdocs\book-review\app\Http\Controllers\GenreController.php", "PHP", 0, 84, 0, 0, 0, 0, 0, 0, 20, 21, 125
"c:\xampp\htdocs\book-review\app\Http\Controllers\ReviewController.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 28, 10, 66
"c:\xampp\htdocs\book-review\app\Http\Controllers\UserController.php", "PHP", 0, 110, 0, 0, 0, 0, 0, 0, 1, 17, 128
"c:\xampp\htdocs\book-review\app\Http\Controllers\authController.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 13, 15, 88
"c:\xampp\htdocs\book-review\app\Http\Middleware\Admin.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 5, 5, 29
"c:\xampp\htdocs\book-review\app\Models\Book.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\xampp\htdocs\book-review\app\Models\Genre.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\xampp\htdocs\book-review\app\Models\Review.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\xampp\htdocs\book-review\app\Models\User.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 19, 7, 67
"c:\xampp\htdocs\book-review\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 8, 5, 25
"c:\xampp\htdocs\book-review\app\Providers\TelescopeServiceProvider.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 13, 11, 65
"c:\xampp\htdocs\book-review\bootstrap\app.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 2, 4, 26
"c:\xampp\htdocs\book-review\bootstrap\providers.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\xampp\htdocs\book-review\composer.json", "JSON", 0, 0, 0, 0, 73, 0, 0, 0, 0, 1, 74
"c:\xampp\htdocs\book-review\composer.lock", "JSON", 0, 0, 0, 0, 8915, 0, 0, 0, 0, 1, 8916
"c:\xampp\htdocs\book-review\config\app.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 82, 23, 127
"c:\xampp\htdocs\book-review\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"c:\xampp\htdocs\book-review\config\cache.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 0, 34, 18, 109
"c:\xampp\htdocs\book-review\config\cors.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 12, 12, 40
"c:\xampp\htdocs\book-review\config\database.php", "PHP", 0, 108, 0, 0, 0, 0, 0, 0, 43, 23, 174
"c:\xampp\htdocs\book-review\config\filesystems.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 32, 13, 78
"c:\xampp\htdocs\book-review\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 33, 21, 133
